MOU HOUN (VOLTA NOIRE)                  SAMANDENI
 0.000 0.000 1.000 1.000 1.000 1.000 2.000 1.000 1.000 1.000             1 71978
 1.000 1.000 2.000 2.000 4.000 2.000 4.000 4.000 3.000 2.000             2 71978
 1.000 1.000 2.000 5.000 8.000 9.000 8.000 8.000 8.000 9.000 9.000       3 71978
11.00013.00014.00014.00012.000 9.000 6.000 4.000 3.000 3.000             1 81978
 2.000 3.000 5.000 5.000 6.000 8.00011.00012.00010.000 7.000             2 81978
 6.000 6.000 7.000 8.000 8.000 8.000 7.000 7.000 8.000 8.000 7.000       3 81978
 7.000 8.000 8.000 8.000 8.000 8.000 8.000 9.000 9.00010.000             1 91978
13.00018.00019.00019.00021.00025.00028.00031.00034.00036.000             2 91978
37.00038.00041.00043.00046.00049.00050.00053.00056.00059.000 9999.       3 91978
62.00065.00067.00069.00070.00070.00069.00068.00066.00062.000             1101978
